"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"tc_raiding_tools","Raiding tools","Raiding tools","Pro chmatáky","Raubbau-Werkzeuge","Инструменты для взлома","Dla bitów","A bitekért","Strumenti di attacco","Herramientas de ataque","Outils d'attaque","突袭的工具","襲撃ツール","Ferramentas de ataque","突袭的工具",
"tc_lore","Classified files","Classified files","Tajné dokumenty","Verschlusssachen","Секретные документы","Tajne dokumenty","Titkos dokumentumok","File classificati","Archivos clasificados","Fichiers classifiés","机密文件","分類されたファイル","Arquivos classificados","机密文件",
"trader_filter_name","Name","Name","Název","Name","Имя","Imię","Név","Nome","Nombre","Nom","名称","名前","Nome","名称",
"trader_filter_price","Price","Price","Cena","Preis","Цена","Cena £","Ár","Prezzo","Precio","Prix","价格","価格","Preço","价格",
"trader_buing_old","How can I serve you?","How can I serve you?","Tak co by sis přál?","Wie kann ich dir dienen?","Что ты хочешь приобрести?","Więc czego chciałbyś?","Tehát mit kívánsz?","Come posso servirti?","¿Como puedo servirle?","Comment puis-je vous servir?","我能为您做些什么?","どうすればあなたに仕えることができますか？","Como posso atendê-lo?","我能为您做些什么?",
"trader_selling_old","Yeah I buy what you have...","Yeah I buy what you have...","Jo jo koupím co máš...","Ja, ich kaufe, was du hast...","Да, я куплю у тебя твои вещи...","Tak, tak, kupuję to, co masz ...","Igen, igen, megveszem azt, ami van ...","Sì, compro quello che hai ...","Sí, compro lo que tienes ...","Oui, j'achète ce que vous avez ...","是的，我买了你有的…","ええ、私はあなたが持っているものを買う...","Sim, eu compro o que você tem...","是的，我买了你有的…",
"trader_buing","Buy","Buy","Koupit","Besorgen","Купить","Kupić","megvesz","Acquistare","Compra","Acheter","买","買う","Comprar","买",
"trader_selling","Sell","Sell","Prodat","Verkaufen","Продать","Sprzedać","Elad","Vendere","Vender","Vendre","卖","売る","Vender","卖",
"trader_give_items","Give the required items","Give the required items","Dát požadované předměty","Geben Sie die erforderlichen Gegenstände","Дайте необходимые предметы","Obiekty","Tárgyak","Dai gli articoli da vendere","Dar los artículos para vender","Donnez les articles à vendre","提供所需物品","必要なアイテムを提供します","Dê os itens para vender","提供所需物品",
"trader_bring_me","Bring me","Bring me","Přines mi","Bring mir","Принеси мне","Przynieś mi","Hozzon nekem","Portami","Traerme","Apporte moi","带给我","持ってきて","Traga-me","带给我",
"trader_give_you","I will give you this ","I will give you this ","Dám ti tohle","Ich werde dir das geben","Я дам тебе это","Dam ci to","Ezt adom neked","Te lo darò","Yo te daré eso","Je vais te donner ça","我会给你这个","私はあなたにこれをあげます","Eu vou te dar isso","我会给你这个",
"trader_not_needed","is not required anymore in ","is not required anymore in ","již není požadován v","wird nicht mehr benötigt","больше не требуется в","nie wymaga już w","már nem szükséges","Non è più necessario","Ya no es necesario","Ce n'est plus nécessaire","不再需要","もう必要ありません","Não é mais necessário","不再需要",
"tc_debitcard","Debit card","Debit card","Platební karta","Debitkarte","Дебетовая карта","Karta kredytowa","Hitelkártya","Carta di debito","Tarjeta de débito","Carte de débit","借记卡","デビットカード","Cartão de débito","借记卡",
"tc_crafted","Crafted","Crafted","Vyrobený","Hergestellt","Изготовлено","Zrobiony","Készült","Fatto a mano","Hecho a mano","Fait main","油桶&套件","作成された","Feito à mão","油桶&套件",
"tc_archery","Archery","Archery","Lukostřelba","Bogenschießen","Стрельба из лука","Łucznictwo","Íjászat","Arco e freccia","Arco y flecha","Arc et des flèches","射箭","アーチェリー","Arco e flecha","射箭",
"tc_bows","Bows","Bows","Luky","Bögen","Луки","Łuki","Íj","Archi","Arcos","Arches","弓","弓","Arcos","弓",
"tc_crossbows","Crossbows","Crossbows","Kuše","Armbrüste","Арбалеты","Kusza","Nyílpuska","Balestre","Ballestas","Arbalètes","弩","クロスボウ","Crossbows","弩",
"tc_arrows","Arrows","Arrows","Šípy","Pfeile","Стрелы","Strzałki","Nyilak","Frecce","Flechas","Flèches","箭头","矢印","Flechas","箭头",
"tc_bolts","Bolts","Bolts","Střely","Schrauben","Болты","Strzały","Felvételek","Viti","Tornillos","Des vis","螺栓","ボルト","Parafusos","螺栓",
"tc_launchers","Launchers","Launchers","Odpalovací zařízení","Trägerraketen","Пусковые установки","Wyrzutnia","Indító","Lanciatori","Lanzadores","Lanceurs","发射器","ランチャー","Lançadores","发射器",
"tc_missiles","Missiles","Missiles","Rakety","Raketen","Ракеты","Pociski","Rakéták","Missili","Misiles","Missiles","导弹","ミサイル","Mísseis","导弹",
"tc_aircrafts","Aircrafts","Aircrafts","Letadla","Flugzeuge","Авиатехника","Samolot","Repülőgép","Aereo","Aeronave","Avion","飞行器","航空機","Aeronaves","飞行器",
"tc_helicopters","Helicopters","Helicopters","Vrtulníky","Hubschrauber","Вертолеты","Helikoptery","Helikopterek","Elicottero","Helicóptero","Hélicoptère","直升机","ヘリコプター","Helicópteros","直升机",
"tc_boats","Boats","Boats","Lodě","Boote","Лодки","Statki","Hajók","Barca","Bote","Bateau","船","ボート","Barcos","船",
"tc_firearms","Firearms","Firearms","Střelné zbraně","Feuerarme","Огнестрельное оружие","Broń palna","Lőfegyverek","Armi da fuoco","Armas de fuego","Armes à feu","枪支","銃器","Armas de fogo","枪支",
"tc_smokegrenades","Smoke grenades","Smoke grenades","Kouřové granáty","Rauchgranaten","Дымовые гранаты","Smoke granaty","Füstgránátok","Fumi granate","Granadas de humo","Grenades de fumée","烟雾弹","スモークグレネード","Granadas de fumaça","烟雾弹",
"tc_swords","Swords and spears","Swords and spears","Meče a kopí","Schwerter und Speere","Мечи и копья","Miecze i włócznie","Kardok és lándzatok","Spade e lance","Espadas y lanzas","Épées et lances","剑和长矛","Espadas e lanças","剣と槍","剑和长矛",
"tc_93x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64","9.3x64",
"tc_handguns","Handguns","Handguns","Ruční zbraně","Handfeuerwaffen","Пистолеты","Pistolety","Kézifegyverek","Pistole","Pistolas","Armes de poing","手枪","Pistolas","拳銃","手枪",
"tc_riflesshotguns","Rifles and shotguns","Rifles and shotguns","Pušky a brokovnice","Gewehre und Schrotflinten","Винтовки и дробовики","Karabiny i strzelby","Puskák és puskák","Fucili e fucili da caccia","Rifles y escopetas","Fusils et fusils de chasse","步枪和shot弹枪","Rifles e espingardas","ライフルとショットガン","步枪和shot弹枪",
"tc_carbines","Carbines","Carbines","Karabiny","Karabiner","Карабины","Karabiny","Karabélyok","Carbine","Carabina","Carabines","卡宾枪","Carabinas","カービンズ","卡宾枪",
"tc_pdw","Personal defense weapons","Personal defense weapons","Osobní obranné zbraně","Persönliche Verteidigungswaffen","Оружие личной защиты","Osobista broń obronna","Személyi védelmi fegyverek","Armi di difesa personale","Armas de defensa personal","Armes de défense personnelles","个人防御武器","Armas de defesa pessoais","個人防衛兵器","个人防御武器",
"tc_battlerifles","Battle rifles","Battle rifles","Bojové pušky","Kampfgewehre","Боевые винтовки","Karabiny bojowe","Harci puskák","Fucili da battaglia","Rifles de batalla","Fusils de combat","战斗步枪","Rifles de batalha","バトルライフル","战斗步枪",
"tc_bowcrossbow","Bows and crossbows","Bows and crossbows","Luky a kuše","Bögen und Armbrüste","Луки и арбалеты","Łuki i kusze","Íj és számszeríj","Bows e balestre","Arcos y ballestas","Arcs et arbalètes","弓箭","Arcos e bestas","弓とクロスボウ","弓箭",
"tc_books","Books","Books","Knihy","Bücher","Книги","Książki","Könyvek","Libri","Libros","Livres","图书","Livros","本","图书",
"action_atm","ATM","ATM","Bankomat","Geldautomat","Банкомат","bankomat","ATM","ATM","Cajero automático","Au m","自动取款机","ATM","ATM","自动取款机",
"alp_atm_login","Login","Login","Přihlásit se","Anmeldung","Авторизация","Zaloguj sie","Belépés","accesso","iniciar sesión","connexion","登录","ログイン","Conecte-se","登录",
"alp_atm_logout","Logout","Logout","Odhlásit se","Ausloggen","Выйти","Wyloguj","Kijelentkezés","Partire","Vete","Partir","登出","ログアウト","Sair","登出",
"alp_atm_account","Your account","Your account","Váš účet","Ihr Konto","Ваш счет","Twoje konto","Fiókja","Il tuo account","Su cuenta","Votre compte","您的帐户","貴方のアカウント","Sua conta","您的帐户",
"alp_atm_logintitle","Enter your PIN","Enter your PIN","Zadejte svůj PIN","PIN eingeben","Введите PIN-код","Wpisz Twój kod PIN","Írja be a PIN -kódját","Inserisci il tuo pin","Introduce tu PIN","Entrez votre broche","输入您的 PIN 码","ピンを入力してください","Insira seu PIN","输入您的 PIN 码",
"alp_atm_pin","PIN","PIN","PIN","PIN","PIN","Szpilka","Csap","Spillo","Alfiler","Épingler","PIN","ピン","PIN","PIN",
"alp_atm_newpin","New PIN","New PIN","Nový PIN","Neuer Pin","Новый PIN-код","Nowy PIN","Új csap","Nuovo pin","Nuevo alfiler","Nouvelle épingle","新密码","新しいピン","Novo PIN","新密码",
"alp_atm_changepswd","Change password","Change password","Změnit heslo","Passwort ändern","Изменить пароль","Zmień hasło","Jelszó módosítása","Cambia la password","Cambia la contraseña","Changer le mot de passe","更改密码","パスワードを変更する","Mudar senha","更改密码",
"alp_atm_choosecurrency","Choose currency","Choose currency","Vyberte měnu","Währung wählen","Выберите валюту","Wybierz walutę","Válasszon egy valutát","Scegli la valuta","Elija la moneda","Choisissez la monnaie","选择货币","通貨を選択してください","Escolha a moeda","选择货币",
"alp_atm_loans","Loans","Loans","Půjčky","Kredite","Кредит","Pożyczka","Hitel","Prestiti","Préstamos","Prêts","贷款","ローン","Empréstimos","贷款",
"alp_atm_withdraw","Withdraw","Withdraw","Vybrat","Auszahlen","Снять со счета","Wybierać","Választ","Ritirare","Retirar","Retirer","提取","撤退","Retirar","提取",
"alp_atm_deposit","Deposit","Deposit","Vložit","Einzahlen","Положить на счет","Wstawić","Beilleszt","Depositare","Depósito","Dépôt","存款","デポジット","Depósito","存款",
"alp_atm_takeloan","Take a loan","Take a loan","Vzít si půjčku","Einen Kredit aufnehmen","Взять кредит","Wziąć pożyczkę","Hitelt felvenni","Prendere un prestito","Tomar un préstamo","Prendre un prêt","贷款","ローンを取る","Tomar um empréstimo","贷款",
"alp_atm_payloan","Repay a loan","Repay a loan","Splatit půjčku","Ein Darlehen zurückzahlen","Погасить кредит","Spłacić pożyczkę","Visszafizetni a kölcsönt","Rimborsare un prestito","Reembolsar un préstamo","Rembourser un prêt","偿还贷款","ローンを返済します","Reembolsar um empréstimo","偿还贷款",
"alp_atm_exchange","Exchange","Exchange","Směna měny","Wechseln","Обмен","Wymiana walut","Valutaváltó","Scambio","Intercambio","Échanger","货币转换","交換","Intercâmbio","货币转换",
"alp_atm_cards","Payment cards","Payment cards","Platební karty","Zahlungskarten","Банковские карты","Karty kredytowe","Bankkártyák","Carte di pagamento","Tarjetas de pago","Cartes de paiement","支付卡","支払いカード","Cartões de pagamento","支付卡",
"alp_atm_loans_terms","Loan length in days","Loan length in days","Doba splatnosti ve dnech","Kreditdauer in Tagen","Срок кредита в днях","Odpowiedni czas w dni","Idő a napokon","Durata del prestito in giorni","Duración del préstamo en días","Durée du prêt en jours","贷款天数","数日のローン長","Duração do empréstimo em dias","贷款天数",
"alp_atm_loans_limit","Your loan limit","Your loan limit","Váš úvěrový limit","Ihr Kreditlimit","Ваш кредитный лимит","Twój limit kredytowy","Az Ön hitelkerete","Il tuo limite di prestito","Su límite de préstamo","Votre limite de prêt","您的贷款限额","あなたのローン制限","Seu limite de empréstimo","您的贷款限额",
"alp_atm_exchange_available","Available balance","Available balance","Dostupná částka","Verfügbares Guthaben","Доступный баланс","Dostepna ilosc","Rendelkezésre álló összeg","Equilibrio disponibile","Saldo disponible","Solde disponible","可用余额","利用可能残高","Saldo disponível","可用余额",
"alp_atm_loan_maturity","Loan maturity","Loan maturity","Splatnost úvěru","Kreditlaufzeit","Срок погашения","Dojrzałość kredytowa","Hitel érettség","Maturità del prestito","Madurez de préstamo","Maturité du prêt","贷款期限","ローンの満期","Vencimento do empréstimo","贷款期限",
"alp_atm_cards_title","Your payment cards","Your payment cards","Vaše platební karty","Ihre Zahlungskarten","Ваши банковские карты","Twoja karta kredytowa","A hitelkártyája","Le tue carte di pagamento","Tus tarjetas de pago","Vos cartes de paiement","您的支付卡","あなたの支払いカード","Seus cartões de pagamento","您的支付卡",
"alp_atm_cards_block","By selecting and confirming you can block it","By selecting and confirming you can block it","Výběrem a potvrzením můžete zablokovat kartu","Durch Auswählen und Bestätigen können Sie es blockieren","Выбрав и подтвердив, вы можете заблокировать карту","Wybierając i potwierdzając, możesz zablokować kartę","Ha kiválasztja és megerősíti, blokkolhatja a kártyát","Quando si seleziona e si conferma, è possibile bloccarlo","Al seleccionar y confirmarlo, puede bloquearlo","Lors de la sélection et de la confirmation, vous pouvez le bloquer","通过选择并确认您可以阻止它","選択して確認することで、ブロックできます","Ao selecionar e confirmar, você pode bloqueá-lo","通过选择并确认您可以阻止它",
"alp_atm_cards_id","Payment card ID","Payment card ID","ID platební karty","Zahlungskarten-ID","ID банковской карты","Karta identyfikacyjna","Az igazolvány","ID carta di pagamento","ID de tarjeta de pago","ID de carte de paiement","支付卡ID","支払いカードID","ID do cartão de pagamento","支付卡ID",
"alp_atm_cards_connected","Connected","Connected","Připojena","In Verbindung gebracht","Подключено","Przyłączony","Csatolt","Collegato","Conectado","Connecté","连接的","接続","Conectado","连接的",
"alp_atm_login_wrongpin","INVALID PIN!","INVALID PIN!","NEPLATNÝ PIN!","UNGÜLTIGE PIN!","НЕВЕРНЫЙ PIN-код!","Nieprawidłowy pin!","Érvénytelen PIN!","Pin non valido!","Pin inválido!","PIN invalide!","密码无效","無効なピン！","PIN INVÁLIDO!","密码无效",
"alp_wanted","The wanted person was seen nerby","The wanted person was seen nerby","Hledaná osoba byla spatřena blízko","Die gesuchte Person wurde in der Nähe gesehen","Должник был замечен поблизости","Osoba chciała być widoczna blisko","Az a személy, aki közel volt látni","La persona ricercata è stata vista nelle vicinanze","La persona solicitada fue vista cerca","La personne recherchée a été vue à proximité","在附近看到通缉犯","指名手配者はネルビーが見られました","A pessoa procurada foi vista nas proximidades","在附近看到通缉犯",
"alp_debtwarning","Your debt is overdue! You have become wanted person! It's recommended to pay all your debts ASAP","Your debt is overdue! You have become wanted person! It's recommended to pay all your debts ASAP","Váš dluh je po splatnosti! Stali jste se hledanou osobou! Doporučuje se uhradit všechny své závazky co nejdříve","Ihre Schulden sind überfällig! Sie sind gesuchte Person geworden! Es wird empfohlen, alle Ihre Schulden so schnell wie möglich zu begleichen","Ваш долг просрочен! Вас подали в розыск! Рекомендуется выплатить все долги как можно скорее","Twój dług jest spóźniony! Zostałeś osobą wyszukiwania! Zaleca się, aby jak najszybciej zapłacić wszystkie swoje obowiązki","Az adósságod lejárt! Kereső személyré váltál! Javasoljuk, hogy a lehető leghamarabb fizessen meg minden kötelezettségét","Il tuo debito è in ritardo! Sei diventato una persona ricercata! Si consiglia di pagare tutti i tuoi debiti il ​​prima possibile","¡Tu deuda llega tarde! ¡Te has convertido en una persona buscada! Se recomienda pagar todas sus deudas lo antes posible.","Votre dette est en retard! Vous êtes devenu une personne recherchée! Il est recommandé de payer toutes vos dettes dès que possible","你的债务逾期了！你成了通缉犯！建议尽快还清所有债务","あなたの借金は遅れています！あなたは望ましい人になりました！できるだけ早くすべての借金を支払うことをお勧めします","Sua dívida está atrasada! Você se tornou uma pessoa procurada! É recomendável pagar todas as suas dívidas o mais rápido possível","你的债务逾期了！你成了通缉犯！建议尽快还清所有债务",
"ip_coldresistance","Cold resistance","Cold resistance","Odolnost proti chladu","Kältebeständigkeit","Cопротивление холоду","Odporność na zimno","Hideg ellenállás","Resistenza al freddo","Resistencia al frío","Résistance au froid","抗寒性","冷たい抵抗","Resistência ao frio","抗寒性",
"alp_atm_reward","listed reward","listed reward","uvedená odměna","gelistete Belohnung","Начисленное вознаграждение","Wspomniana nagroda","A megemlített jutalom","Ricompensa elencata","Recompensa listada","Récompense répertoriée","上市奖励","リストされた報酬","Recompensa listada","上市奖励",
"tc_127_108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108","12.7x108",
"tc_145_114","14.5x114","14.5x114","14.5x114","14.5x114","14.5x114","14,5x114","14.5x114","14.5x114","14.5x114","14.5x114","14.5x114","14.5x114","14.5x114","14.5x114",
"tc_30_06",".30-06",".30-06",".30-06",".30-06",".30-06",".30-06",".30-06",".30-06",".30-06",".30-06",".30-06",".30-06",".30-06",".30-06",
"tc_45_70",".45-70",".45-70",".45-70",".45-70",".45-70",".45-70",".45-70",".45-70",".45-70",".45-70",".45-70",".45-70",".45-70",".45-70",
"STR_alp_decontaminationspray","Radioactive Decontamination","Radioactive Decontamination","Radioaktivní dekontaminace","Radioaktive Dekontamination","Радиоактивная дезактивация","Dekontaminacja radioaktywna","Radioaktív szennyeződés","Decontaminazione radioattiva","Descontaminación radiactiva","Décontamination radioactive","辐射去除喷剂","放射性除染","Descontaminação Radioativa","放射性去污",
"STR_alp_decontaminationspray_desc","Nuclean is a concentrated and highly efficient solution for safe and fast removal of radioactivity from any equipments","Nuclean is a concentrated and highly efficient solution for safe and fast removal of radioactivity from any equipments","Nuclean je koncentrované a vysoce účinné řešení pro bezpečné a rychlé odstranění radioaktivity z jakéhokoliv vybavení","Nuclean ist eine konzentrierte und hocheffiziente Lösung zur sicheren und schnellen Entfernung von Radioaktivität aus allen Geräten","Nuclean — концентрированный и высокоэффективный раствор для безопасного и быстрого удаления радиоактивности с любого оборудования","Nuclean jest skoncentrowanym i wysoce skutecznym rozwiązaniem dla bezpiecznego i szybkiego usuwania radioaktywności z dowolnego sprzętu","A Nuclean koncentrált és rendkívül hatékony megoldás a radioaktivitás biztonságos és gyors eltávolításához bármely berendezésből","Nuclean è una soluzione concentrata e altamente efficiente per la radioattività sicura e rapida da qualsiasi attrezzatura","Nuclean es una solución concentrada y altamente eficiente para eliminar rápidamente la radiactividad de cualquier equipo de cualquier equipo.","Nuclean est une solution concentrée et très efficace pour éliminer la radioactivité sûre et rapide de tout équipement","是一种浓缩且高效的解决方案，可安全快速地从任何设备中去除放射性物质","Nucleanは、あらゆる機器から放射能を安全かつ迅速に除去するための集中的で非常に効率的なソリューションです","Nuclean é uma solução concentrada e altamente eficiente para remoção segura e rápida da radioatividade de qualquer equipamento","是一种浓缩且高效的解决方案，可安全快速地从任何设备中去除放射性物质",
"alp_dead_by_infected","was killed by infected","was killed by infected","byl zabit infikovaným","wurde von Infizierten getötet","был убит зараженным","został zabity przez zainfekowany","a fertőzöttek megölték","È stato ucciso da infetto","Fue asesinado por infectado","A été tué par infecté","被感染者杀死","感染によって殺されました","Foi morto por infectado","被感染者杀死",
"alp_dead_by_beast","was killed by beast","was killed by beast","byl zabit šelmou","wurde von Bestien getötet","был убит зверем","został zabity przez bestię","a fenevad megölte","È stato ucciso dalla bestia","Fue asesinado por la bestia","A été tué par la bête","被野兽杀死","ビーストに殺されました","Foi morto pela fera","被野兽杀死",
"alp_dead_by_unr","is dead for unknown reasons","is dead for unknown reasons","je z neznámých důvodů mrtvý","ist aus unbekannten Gründen tot","умер по неизвестным причинам","jest z nieznanych powodów martwych","ismeretlen okokból halott","Viene ucciso per ragioni sconosciute","Es asesinado por razones desconocidas","Est tué pour des raisons inconnues","死因不明","未知の理由で死んでいます","Está morto por razões desconhecidas","死因不明",
"alp_dead_by_killed","killed","killed","zabil","getötet","убит","zabity","megölt","Morto","Muerto","Mort","被杀","殺された","Morto","被杀",
"alp_dead_by_combat","in close combat","in close combat","v boji zblízka","im Nahkampf","в ближнем бою","W bliskiej walce","Egy közeli harcban","Nel combattimento del corpo","En combate corporal","Dans le combat corporel","在近战中","近い戦闘で","Em combate corpo a corpo","在近战中",
"alp_dead_by","by","by","s","mit","с","z","val vel","Nel","En","Dans","和","に","De","和",
"alp_startedmission","has started mission close to","has started mission close to","začal misi blízko","hat die Mission in der Nähe begonnen","начал миссию недалеко от","Rozpoczął misję zamkniętą","elindította a missziót zárva","ha iniziato la missione vicino","Comenzó la misión cerca","a commencé la mission près","已经开始任务接近","近くでミッションを開始しました","iniciou missão perto de","已经开始任务接近",
"alp_missioninprogress","in progress","in progress","probíhá","im Gange","в ходе выполнения","w trakcie","folyamatban","In corso","en proceso","En cours","进行中","進行中","em andamento","进行中",
"alp_questcompletedby","completed quest close to","completed quest close to","dokončil úkol blízko","hat die Quest in der Nähe abgeschlossen","выполнил квест рядом с","Zakończył zadanie zamykane","befejezte a feladatot zárva","completato la missione vicino","completó la misión cerca","terminé la mission près","完成任务接近","近くで完了したクエスト","completou a missão perto de","完成任务接近",
"alp_mactive","active","active","aktivní","aktiv","активный","aktywny","aktív","attivo","activo","actif","积极的","ativo","アクティブ","积极的",
"alp_mnonactive","not active","not active","neaktivní","nicht aktiv","не активный","nieaktywny","nem aktív","non attivo","no activo","pas actif","不活跃","não ativo","非活動中","不活跃",
"alp_munsecured","danger","danger","nebezpečí","Achtung","Опасность","niebezpieczeństwo","veszély","Pericolo","peligro","danger","危险","perigo","危険","危险",
"alp_mcleared","cleared","cleared","vyčištěno","geklärt","очищен","wyczyszczone","tisztított","cancellato","despejado","dégagé","清除","limpo","クリアされた","清除",
"alp_moccupied","occupied","occupied","obsazeno","belegt","занятый","zajęty","megszállt","occupato","ocupado","occupé","占据","ocupado","占領","占据",
"alp_mconquer","taking over the area","taking over the area","přebírání oblasti","die Gegend übernehmen","Взяв за район","Przejęcie tego obszaru","A terület átvétele","Prendendo il controllo della zona","Tomando el área","prendre le contrôle de la zone","接管该地区","assumindo a área","エリアを引き継ぐ","接管该地区",
"alp_mdefend","counterattack","counterattack","protiútok","Gegenangriff","контр-атака","kontratak","ellentámadás","contrattacco","contraataque","contre-attaque","反击","contra ataque","反撃","反击",
"alp_msecured","secured","secured","zajištěna","gesichert","защищен","zabezpieczone","biztosított","assicurato","asegurado","garanti","安全","garantido","確保されています","安全",
"alp_mexpired","canceled","canceled","zrušena","abgebrochen","отменен","odwołany","törölve","annullato","cancelado","annulé","取消","cancelado","キャンセル","取消",
"alp_mfailed","failed","failed","selhání","gescheitert","не удалось","przegrany","nem sikerült","fallito","ha fallado","échoué","失败的","fracassado","失敗した","失败的",
"STR_alp_accesscard_desc","A plastic card with a microchip or magnetic strip containing encoded data that is read by passing the card through or over an electronic device, used to provide access to restricted or secure areas or systems.","A plastic card with a microchip or magnetic strip containing encoded data that is read by passing the card through or over an electronic device, used to provide access to restricted or secure areas or systems.","Plastová karta s mikročipem nebo magnetickým proužkem obsahující zakódovaná data, která se čtou průchodem karty elektronickým zařízením nebo přes něj, používaná k poskytování přístupu do omezených nebo zabezpečených oblastí nebo systémů.","Eine Plastikkarte mit einem Mikrochip- oder Magnetstreifen, das codierte Daten enthält, die durch Übergabe der Karte über oder über ein elektronisches Gerät gelesen werden, der zum Zugriff auf eingeschränkte oder sichere Bereiche oder Systeme verwendet wird.","Пластиковая карта с микрочипом или магнитной полосой, содержащей кодированные данные, которые читаются путем передачи карты через или через электронное устройство, используемое для обеспечения доступа к ограниченным или безопасным областям или системам.","Plastikowa karta z mikroczipem lub paskiem magnetycznym zawierającym zakodowane dane odczytane przez przekazanie karty lub przez urządzenie elektroniczne, używane do zapewnienia dostępu do ograniczonych lub bezpiecznych obszarów lub systemów.","Egy műanyag kártya, amelynek mikrochip vagy mágneses csíkkal rendelkezik, amelyek kódolt adatokat tartalmaznak, amelyeket úgy olvasnak, hogy a kártyát elektronikus eszközön keresztül vagy azok felett átadják, a korlátozott vagy biztonságos területekhez vagy rendszerekhez való hozzáférés biztosításához használják.","Una scheda di plastica con un microchip o una striscia magnetica contenente dati codificati che vengono letti passando la scheda attraverso o sopra un dispositivo elettronico, utilizzata per fornire accesso a aree o sistemi limitati o sicuri.","Una tarjeta de plástico con un microchip o una tira magnética que contiene datos codificados que se lee al pasar la tarjeta a través o sobre un dispositivo electrónico, utilizado para proporcionar acceso a áreas o sistemas restringidos o seguros.","Une carte en plastique avec une micropuce ou une bande magnétique contenant des données codées qui sont lues en passant la carte ou sur un appareil électronique, utilisé pour fournir un accès à des zones ou des systèmes restreints ou sécurisés.","带有微芯片或磁条的塑料卡，其中包含编码数据，该卡通过通过电子设备或通过电子设备传递卡，用于提供受限或安全区域或系统的访问。","Uma placa de plástico com um microchip ou tira magnética contendo dados codificados que são lidos passando o cartão através ou sobre um dispositivo eletrônico, usado para fornecer acesso a áreas ou sistemas restritos ou seguros.","マイクロチップまたは磁気ストリップを備えたプラスチックカードは、制限または安全なエリアまたはシステムへのアクセスを提供するために使用される電子デバイスにカードを渡すことによって読み取られるエンコードされたデータを含むエンコードされたデータを含みます。","带有微芯片或磁条的塑料卡，其中包含编码数据，该卡通过通过电子设备或通过电子设备传递卡，用于提供受限或安全区域或系统的访问。",
"STR_alp_accesscard_red","Red access card","Red access card","Červená přístupová karta","Rote Zugangskarte","Красная карта доступа","Czerwona karta dostępu","Piros hozzáférési kártya","Scheda di accesso rosso","Tarjeta de acceso rojo","Carte d'accès rouge","红色访问卡","Cartão de acesso vermelho","赤いアクセスカード","红色访问卡",
"STR_alp_accesscard_blue","Blue access card","Blue access card","Modrá přístupová karta","Blaue Zugangskarte","Карта доступа синего цвета","Niebieska karta dostępu","Kék hozzáférési kártya","Scheda di accesso blu","Tarjeta de acceso azul","Carte d'accès bleu","蓝色访问卡","Cartão de acesso azul","ブルーアクセスカード","蓝色访问卡",
"STR_alp_accesscard_green","Green access card","Green access card","Zelená přístupová karta","Grüne Zugangskarte","Зеленая карта доступа","Zielona karta dostępu","Zöld hozzáférési kártya","Scheda di accesso verde","Tarjeta de acceso verde","Carte d'accès vert","绿色访问卡","Cartão de acesso verde","グリーンアクセスカード","绿色访问卡",
"STR_alp_accesscard_yellow","Yellow access card","Yellow access card","Žlutá přístupová karta","Gelbe Zugangskarte","Желтая карта доступа","Żółta karta dostępu","Sárga hozzáférési kártya","Carta di accesso giallo","Tarjeta de acceso amarillo","Carte d'accès jaune","黄色访问卡","Cartão de acesso amarelo","黄色のアクセスカード","黄色访问卡",
"alp_action_npc_talk","Have a talk","Have a talk","Promluvit si","Sich unterhalten","Поговорить","Rozmawiać","Beszélj","Avere un colloquio","Tener una charla","Avoir une conversation","有一次谈话","Tenha uma conversa","話をする","有一次谈话",
"alp_action_npc_talkagain","Talk again","Talk again","Promluvit si znovu","Rede noch einmal","Поговори снова","Rozmawiać ponownie","Újra beszél","Parla di nuovo","Volver a hablar","Parle encore","再次交谈","Fala novamente","もう一度話す","再次交谈",
"alp_action_console_activate","Activate","Activate","Aktivovat","aktivieren Sie","Активировать","Aktywuj","Aktiválja","Attivare","Activar","Activer","启用","Ativar","活性化","启用",
"alp_action_console_deactivate","Deactivate","Deactivate","Deaktivovat","Deaktivieren","Деактивировать","Dezaktywować","Deaktivál","Disattivare","Desactivar","Désactiver","停用","Desativar","無効にします","停用",
"alp_action_console_requirescard","Requires access card","Requires access card","Vyžaduje přístupovou kartu","Benötigt Zugangskarte","Требуется карта доступа","Wymaga karty dostępu","Hozzáférési kártyát igényel","Richiede la scheda di accesso","Requiere tarjeta de acceso","Nécessite une carte d'accès","需要访问卡","Requer cartão de acesso","アクセスカードが必要です","需要访问卡",
"alp_action_console_login","Log in","Log in","Přihlásit se","Einloggen","Авторизоваться","Zaloguj sie","Belépés","Accesso","Iniciar sesión","Connexion","登录","Conecte-se","ログイン","登录",
"alp_action_console_logout","Log out","Log out","Odhlásit se","Ausloggen","Выйти","Wyloguj","Kijelentkezés","Disconnettersi","Cerrar sesión","Se déconnecter","登出","Sair","ログアウト","登出",
